prob_q5_q1,i_urban,share_black,share_middleclass,share_divorced,share_married
0.0679502,0,0.0023276,0.5292,0.113854,0.5653377
0.0849624,0,0.0036382,0.59967,0.0911978,0.5877228
0.080598,1,0.0063103,0.57433,0.1177101,0.5554847
0.0928382,1,0.0058352,0.55812,0.1002203,0.5420471
0.0840237,0,0.0022711,0.60773,0.111572,0.5710329
0.0791583,0,0.003825,0.60031,0.1102932,0.5574956
0.0820455,1,0.0326659,0.52939,0.0921162,0.5242115
0.0676692,0,0.0230867,0.52588,0.1258913,0.5152037
0.1048246,1,0.0537642,0.44446,0.0801852,0.5182357
0.100065,1,0.0069617,0.53581,0.1050862,0.5792845
0.0901116,0,0.003897,0.59261,0.1074477,0.5454048
0.0680424,1,0.0549518,0.51898,0.094534000000000007,0.4861717
0.0786153,1,0.0867906,0.43817,0.0926127,0.5502784
0.0870659,1,0.015813,0.54736,0.104357,0.5338824
0.0921409,0,0.0014884,0.64579,0.0966784,0.5763593
0.1005693,0,0.0179547,0.63775,0.0844837,0.4849507
0.1199226,0,0.0095167,0.63636,0.0942543,0.5778168
0.1051995,0,0.0040393,0.60816,0.1027385,0.6156547
0.1020543,0,0.0022476,0.61395,0.097101,0.5975506
0.1302395,0,0.0019301,0.62484,0.1012653,0.6011535
0.1756757,1,0.0016599,0.66791,0.0678741,0.6225684
0.1994382,0,9.42e-4,0.68871,0.0679604,0.6148661
0.1256732,1,0.0065633,0.66847,0.067436,0.5516004
0.1373093,0,0.0136979,0.62334,0.0802426,0.5794886
0.127406,1,0.0075825,0.6233,0.0708912,0.5689661
0.0851969,1,0.0533286,0.47066,0.0926825,0.5490904
0.111465,0,0.008597,0.6435,0.1032468,0.588213
0.0846722,0,0.0021054,0.5783,0.0970201,0.6103948
0.1428571,1,0.0161142,0.55731,0.0788223,0.6131306
0.1184971,0,0.0038069,0.67313,0.0861692,0.5889709
0.1265985,0,0.005206,0.67799,0.0914158,0.5903857
0.1652422,0,0.0025239,0.69817,0.0652163,0.6020485
0.1127451,0,0.0070697,0.63612,0.0976098,0.6027492
0.1228288,1,0.0468502,0.59211,0.0795097,0.5643222
0.1333333,0,0.0040656,0.70975,0.0714433,0.6115037
0.09375,1,0.017358,0.57951,0.0837689,0.5262941
0.117943,1,0.0209094,0.56813,0.0974736,0.5810228
0.124498,0,0.0052112,0.63319,0.0979687,0.5949965
0.1374188,1,0.0072417,0.67089,0.0812908,0.6012158
0.1151142,1,0.0067334,0.61962,0.0848283,0.5989106
0.0915169,1,0.0086489,0.5866,0.0896788,0.5787928
0.0848416,0,0.0018343,0.63935,0.0880909,0.5982811
0.1242866,1,0.0026102,0.63777,0.080709,0.5997698
0.1133242,1,0.0050998,0.63999,0.0835481,0.5513048
0.1178209,1,0.0059425,0.6207,0.0870346,0.5559887
